text,label
"i thought i lost my card but i found it today, so i would like to reactivate it.",card_linking
i asked for cash but i did not receive all the funds,wrong_amount_of_cash_received
"hi, i have an apple watch. how do i use it to top up my card?",apple_pay_or_google_pay
i need my purchase cancelled.,request_refund
how do i get a new card,order_physical_card
what is the estimated time on an urgent transfer from china?,transfer_timing
what id do i need to verify my identity?,verify_my_identity
how long does it take for a purchase to go from pending to authorised?,pending_card_payment
is there a disposable virtual card option?,get_disposable_virtual_card
"for some reason, the money i added was returned.",top_up_reverted
"i need to activate my card, how is that done?",activate_my_card
am i able to add money into my account using my american express?,supported_cards_and_currencies
"i'm trying to verify my topup card, but i can't find the code...?",verify_top_up
can you tell me why i was declined from getting cash?,declined_cash_withdrawal
how do i change my passcode?,passcode_forgotten
can i get a card if i live in the usa?,country_support
i saw there is a cash withdrawal from my account via the app which i did not complete.,cash_withdrawal_not_recognised
what may be the reason that my transfer did not go through?,failed_transfer
after transfering some money my balance hasn't changed.,balance_not_updated_after_bank_transfer
i see a cash withdrawal in the app that i did not do.,cash_withdrawal_not_recognised
how much is the exchange fee?,exchange_charge
my account was charged a fee. when did you start charging extra for card payments?,card_payment_fee_charged
a cash withdrawal has been done that i didn't do.,cash_withdrawal_not_recognised
i lost my phone. can i use my card without the app?,lost_or_stolen_phone
can i change my pin without going to a bank branch?,change_pin
"there must have been a mistake, why was i charged an extra pound?",extra_charge_on_statement
"hello, i have recently made a purchase and have decided to cancel my purchase. is there any way that you can cancel that transaction for me so i can get the money back? it's very important.",request_refund
"i'm not in the uk, but can i still get a card?",country_support
why are you charging fees on cash withdrawals? i went to withdraw some money earlier today after buying groceries. there's a fee that wasn't there before.,cash_withdrawal_charge
is there a reason my topup has not gone through?,pending_top_up
am i able to top up with apple pay?,apple_pay_or_google_pay
do you accept from usa credit card?,supported_cards_and_currencies
what are the steps for changing my passcode?,passcode_forgotten
can top ups be done from an apple watch.,apple_pay_or_google_pay
why am i not able to get cash from the atm?,declined_cash_withdrawal
i need to find out why my pending payment hasn't gone through.,pending_card_payment
i am trying to make a transfer to a different account but they keep getting declined. i have double checked all the details and the information is correct.,declined_transfer
i would like to get an item refunded,request_refund
why are topups being verified?,verify_top_up
looking back on my transactions from a couple of months ago i have noticed a charge that is fairly large that i'm certain was not completed by me. i know it has been a while but can i please dispute this charge?,direct_debit_payment_not_recognised
what do i do if i forgot my passcode?,passcode_forgotten
i don't know where my phone is.,lost_or_stolen_phone
the atm didnt return my card!,card_swallowed
what do i have to do to get a visa card?,visa_or_mastercard
i have a transaction showing multiple times.,transaction_charged_twice
"why is my transfer not working? i tried multiple times to transfer money, and all that happens is an error message pops up.",beneficiary_not_allowed
can you explain to me why a top up would be reverted?,top_up_reverted
"i have been charged more than i should for the presents i bought when abroad, the problem seems to be the exchange rate.",card_payment_wrong_exchange_rate
are there limits on the virtual cards?,disposable_card_limits
why can't i use a disposable card?,disposable_card_limits
can i use my american express card to add money into my account?,supported_cards_and_currencies
what are the reasons that my mortgage payment won't go through? i'm getting an error and don't know how to correct to get this transfer to go through.,failed_transfer
how do i know which payments i make will have additional fees? where can i find this information online?,card_payment_fee_charged
it's only been a few weeks my my topup got cancelled,top_up_reverted
i want to start using my card.,activate_my_card
i need a virtual card,getting_virtual_card
i have a transfer waiting.,pending_transfer
why is my cash deposit not in my account?,balance_not_updated_after_cheque_or_cash_deposit
what types of topup methods do you accept?,top_up_by_cash_or_cheque
is it possible for friends to top up my account?,topping_up_by_card
"i shouldn't have been charged but i see a fee, why?",card_payment_fee_charged
i put the wrong pin too many times and now it is blocked. can you help me unblock it?,pin_blocked
i no longer want this can i cancel my purchase?,request_refund
how do i top up my account with a bank transfer?,transfer_into_account
"i found my card, how can i use it again?",card_linking
how do i get another card,getting_spare_card
who should i talk to or go to resolve a duplicate charge on my statement?,transaction_charged_twice
it seems like my card payment didn't work.,declined_card_payment
"i have been charged a fee, i didn't know about this fee before! when do you charge extra for card payments?",card_payment_fee_charged
why can't i top up by cheque?,top_up_by_cash_or_cheque
how do i find the topup verification code?,verify_top_up
"i blocked my card by mistake, how do i unblock it?",pin_blocked
why didn't the atm give me all my money,wrong_amount_of_cash_received
"change of location, need to change details",edit_personal_details
i believe my top up is still pending,pending_top_up
"if my topup didn't transfer, what went wrong?",top_up_reverted
can i top up using my cheque?,top_up_by_cash_or_cheque
what is the fee for topping up a us card?,top_up_by_card_charge
how does one send me money?,receiving_money
the activation process for my card isn't working.,activate_my_card
"please help me with the amount that i have withdrawn from the atm today, the atm has given me wrong sum of amount, and i could see that the app is displaying the greater amount than taken out.",wrong_amount_of_cash_received
"i am in desperate need to transfer funds from another account that i have into this one, how do i do that?",transfer_into_account
which one are you? visa or mastercard?,visa_or_mastercard
are there any topup limits that i must follow?,top_up_limits
i bought something and want the money refunded can i get some help with that?,request_refund
i sent a payment to the wrong account number can that transaction be reversed? i am worried about accidentally giving my money away.,cancel_transfer
why was i charged a fee for my card payment?,card_payment_fee_charged
i think my top up is still pending?,pending_top_up
i already have an account. why can't i use it unless my identity is verified?,why_verify_identity
can you tell me if i can hold money in several currencies?,fiat_currency_support
"i want a card, but i'm not in the uk can i get one still?",country_support
where do you have locations at,country_support
my account balance has not updated since i deposited a cheque recently.,balance_not_updated_after_cheque_or_cash_deposit
how long is delivery to the us?,card_delivery_estimate
please delete my account now.,terminate_account
i goofed up and used the wrong account. please help.,cancel_transfer
i just got my new card. how can i activate it?,activate_my_card
at what age can my children use your service?,age_limit
can i order a second card?,getting_spare_card
what currencies are available for my use in holding and exchange?,fiat_currency_support
how can i add a new card?,card_linking
i noticed that the funds were returned to my bank account. what happened?,top_up_reverted
my card was declined,declined_card_payment
the exchange rate for my cash withdrawal was incorrect,wrong_exchange_rate_for_cash_withdrawal
my money hasn't been deposited yet. when will it be?,pending_top_up
"my cash withdrawal is pending, why?",pending_cash_withdrawal
how do i access the virtual card?,getting_virtual_card
there is some cash that is showing up on my app.,cash_withdrawal_not_recognised
how old do my kids need to be to open an account?,age_limit
what's taking so long for this payment to go through?,pending_card_payment
my phone was lost,lost_or_stolen_phone
can you tell me the names of the fiat currencies that i can use at your institution?,fiat_currency_support
"i requested a refund from a merchant a while ago, and upon repeatedly checking my statement, the merchant has yet to refund me my money. i don't know what's going on, or why the money is getting into my accountcould you please help?",Refund_not_showing_up
"atms, which ones will accept this card?",atm_support
what commission do you take for currency exchage?,exchange_charge
how can i get my google pay top up to work?,apple_pay_or_google_pay
are there any places that won't take my card?,card_acceptance
"i just went through a old statement and noticed that a very large payment went through and i did not make it. it was from a few months ago, can i still dispute the payment?",direct_debit_payment_not_recognised
where do you export the cards to?,order_physical_card
"i have an issue. i bought something within the past one to two weeks and have received one of the products however, today the total was returned to my account. what's going on here?",reverted_card_payment?
"when using my card i was charged a fee for doing so, why?",card_payment_fee_charged
i have been charged an extra pound!,extra_charge_on_statement
who charged my card,transfer_fee_charged
why hasn't my cash arrived from a deposited check?,balance_not_updated_after_cheque_or_cash_deposit
i wasn't able to use my top up card because the money i put on there wasn't there anymore,topping_up_by_card
what time will a transfer from the us take?,transfer_timing
i need to know the process to transfer money into my account.,transfer_into_account
why cant i transfer to my account?,beneficiary_not_allowed
how long will a transfer from china take? i need to transfer something from there.,transfer_timing
why does topup need to be verified?,verify_top_up
what are the steps to reset my passcode?,passcode_forgotten
let me know when applying extra charges for payments. i just checked the app and saw a fee that i wasn't warned about.,card_payment_fee_charged
my bill shows the same charge more than once,transaction_charged_twice
why do i still have a pending cash withdrawal?,pending_cash_withdrawal
why am i being a charged for using my card?,card_payment_fee_charged
how come my withdrawal rate is wrong for my cash withdrawal,wrong_exchange_rate_for_cash_withdrawal
"i no longer need aud, i need gbp instead, how can i make this happen?",exchange_via_app
why isn't the transferred money there?,balance_not_updated_after_bank_transfer
am i able to do a swift transfer?,top_up_by_bank_transfer_charge
